Name,Description,Tag,url
What is JavaScript? - Learn web development | MDN,JavaScript Docs,JavaScript,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/First_steps/What_is_JavaScript
Introduction to client-side frameworks - Learn web development | MDN,MDN into to client-side frameworks (like React),JavaScript,https://developer.mozilla.org/en-US/docs/Learn/Tools_and_testing/Client-side_JavaScript_frameworks/Introduction
Getting started with React - Learn web development | MDN,MDN Intro to React,JavaScript,https://developer.mozilla.org/en-US/docs/Learn/Tools_and_testing/Client-side_JavaScript_frameworks/React_getting_started
Document Object Model (DOM) - Web APIs | MDN,Docs for the DOM API in JavaScript,JavaScript,https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model
Learn to Code with JavaScript - Code Like This,JavaScript tutorial for practice,JavaScript,https://codelikethis.com/lessons/javascript
ml5js·Friendly Machine Learning For The Web,ml5.js is a library for machine learning with TensorFlow,JS-Libraries,https://ml5js.org/
LinkedIn: Adobe XD Essential,LinkedIn Learning: Adobe XD Essential training video tutorials,Wireframing,https://www.linkedin.com/learning/adobe-xd-essential-training-design-2020-q1?trk=share_ent_url&shareId=WdWkFWPMSDS7E7ysgiY03Q%3D%3D&accountId=77842946&u=77842946&success=true&authUUID=EExbwCO7TyyGo5QUzQfjug%3D%3D
Colormind - Bootstrap UI colors,A color palette picker/generator,Design,http://colormind.io/bootstrap/
Installing Homebrew on a Mac,Instructions and information for installing Homebrew to make Node installation simpler,Development-Environment,https://treehouse.github.io/installation-guides/mac/homebrew
"CIFS server space info, how to login",Information and instructions for logging into the Duke CIFS server space,Development-Environment,https://www.notion.so/CIFS-server-space-info-how-to-login-746edc7aba694088b54b839cb8295d44#4b58d771e9444248afacdb60aae627a9
Connect to a MongoDB Database Using Node.js | MongoDB,Guide for connecting to a MongoDB with node.js,Node-JS,https://www.mongodb.com/blog/post/quick-start-nodejs-mongodb--how-to-get-connected-to-your-database
Server-side website programming - Learn web development | MDN,Tutorial/Guide: introduction to server-side web development from MDN,Node-JS,https://developer.mozilla.org/en-US/docs/Learn/Server-side
Express body-parser middleware,Express Body Parser is a node package for parsing data from http requests,Node-JS,https://www.notion.so/Express-body-parser-middleware-a787714f573f4977a5b87c366642b2e2
File system | Node.js v16.5.0 Documentation,FS is a node js package for accessing / importing from the file system,Node-JS,https://nodejs.org/api/fs.html
"How to deploy your Node.js / MongoDB app to the web, using Heroku | by Nicolai Safai | Make School | Medium",Information on deploying Node.js apps on Heroku,Node-JS,https://medium.com/make-school/how-to-deploy-your-node-js-mongodb-app-to-the-web-using-heroku-63d4bccf2675
Building RESTful APIs using Express and Node with MongoDB Atlas | Buddy,"A good starter guide for building an interactive to-do list via RESTful APIs with Express, Node and Mongo DB Atlas",Node-JS,https://buddy.works/tutorials/building-restful-apis-using-express-and-node-with-mongodb-atlas
